"station_id","stationname","date","daytype","rides"
40890,"O'Hare Airport","12/26/2017","W",11094
40350,"UIC-Halsted","12/08/2017","W",7462
40350,"UIC-Halsted","12/30/2017","A",837
41300,"Loyola","12/12/2017","W",5177
41300,"Loyola","12/05/2017","W",5454
41300,"Loyola","12/13/2017","W",4986
40350,"UIC-Halsted","12/13/2017","W",5828
41300,"Loyola","12/18/2017","W",3776
40890,"O'Hare Airport","12/01/2017","W",12447
41300,"Loyola","12/08/2017","W",5895
40350,"UIC-Halsted","12/11/2017","W",5614
40350,"UIC-Halsted","12/20/2017","W",3072
41300,"Loyola","12/27/2017","W",2264
40890,"O'Hare Airport","12/11/2017","W",10136
40350,"UIC-Halsted","12/01/2017","W",7718
41300,"Loyola","12/30/2017","A",2060
41300,"Loyola","12/25/2017","U",963
40890,"O'Hare Airport","12/12/2017","W",9406
41300,"Loyola","12/21/2017","W",3654
40350,"UIC-Halsted","12/28/2017","W",1575
40350,"UIC-Halsted","12/04/2017","W",7800
40890,"O'Hare Airport","12/25/2017","U",7244
40350,"UIC-Halsted","12/19/2017","W",3306
41300,"Loyola","12/24/2017","U",1481
40890,"O'Hare Airport","12/18/2017","W",10813
40890,"O'Hare Airport","12/29/2017","W",10562
41300,"Loyola","12/16/2017","A",4212
41300,"Loyola","12/22/2017","W",3307
40350,"UIC-Halsted","12/06/2017","W",7813
40350,"UIC-Halsted","12/29/2017","W",1472
40350,"UIC-Halsted","12/17/2017","U",1321
40890,"O'Hare Airport","12/22/2017","W",9493
40350,"UIC-Halsted","12/25/2017","U",369
41300,"Loyola","12/03/2017","U",3341
40890,"O'Hare Airport","12/31/2017","U",7361
40350,"UIC-Halsted","12/15/2017","W",5217
40350,"UIC-Halsted","12/27/2017","W",1347
41300,"Loyola","12/26/2017","W",1843
40890,"O'Hare Airport","12/16/2017","A",8450
41300,"Loyola","12/10/2017","U",2864
40890,"O'Hare Airport","12/10/2017","U",8994
41300,"Loyola","12/06/2017","W",5465
40350,"UIC-Halsted","12/05/2017","W",7731
40890,"O'Hare Airport","12/07/2017","W",10554
40890,"O'Hare Airport","12/24/2017","U",6777
41300,"Loyola","12/09/2017","A",3961
41300,"Loyola","12/20/2017","W",3846
40350,"UIC-Halsted","12/02/2017","A",2340
40890,"O'Hare Airport","12/15/2017","W",11057
40890,"O'Hare Airport","12/03/2017","U",9308
40350,"UIC-Halsted","12/31/2017","U",800
41300,"Loyola","12/17/2017","U",2578
41300,"Loyola","12/19/2017","W",3980
40890,"O'Hare Airport","12/19/2017","W",10193
41300,"Loyola","12/14/2017","W",5109
41300,"Loyola","12/01/2017","W",6511
40350,"UIC-Halsted","12/14/2017","W",5493
40890,"O'Hare Airport","12/27/2017","W",11154
40350,"UIC-Halsted","12/09/2017","A",1947
40350,"UIC-Halsted","12/22/2017","W",2334
40350,"UIC-Halsted","12/24/2017","U",659
40890,"O'Hare Airport","12/02/2017","A",8542
41300,"Loyola","12/11/2017","W",4966
41300,"Loyola","12/28/2017","W",2541
40890,"O'Hare Airport","12/06/2017","W",9540
40890,"O'Hare Airport","12/28/2017","W",11141
40350,"UIC-Halsted","12/07/2017","W",7661
41300,"Loyola","12/15/2017","W",5175
40350,"UIC-Halsted","12/18/2017","W",3216
40350,"UIC-Halsted","12/16/2017","A",1915
40890,"O'Hare Airport","12/17/2017","U",9018
41300,"Loyola","12/02/2017","A",4856
40890,"O'Hare Airport","12/14/2017","W",10629
40890,"O'Hare Airport","12/30/2017","A",8847
40890,"O'Hare Airport","12/21/2017","W",9558
40890,"O'Hare Airport","12/13/2017","W",9306
40890,"O'Hare Airport","12/04/2017","W",9785
40890,"O'Hare Airport","12/20/2017","W",9799
41300,"Loyola","12/07/2017","W",5532
41300,"Loyola","12/29/2017","W",2667
40890,"O'Hare Airport","12/09/2017","A",8033
40890,"O'Hare Airport","12/08/2017","W",11875
41300,"Loyola","12/04/2017","W",5385
40350,"UIC-Halsted","12/12/2017","W",5553
40350,"UIC-Halsted","12/26/2017","W",1019
40350,"UIC-Halsted","12/23/2017","A",997
40350,"UIC-Halsted","12/10/2017","U",1285
40350,"UIC-Halsted","12/21/2017","W",2718
41300,"Loyola","12/23/2017","A",2119
41300,"Loyola","12/31/2017","U",2097
40890,"O'Hare Airport","12/23/2017","A",7578
40890,"O'Hare Airport","12/05/2017","W",9669
40350,"UIC-Halsted","12/03/2017","U",1645
40350,"UIC-Halsted","03/07/2018","W",7467
40350,"UIC-Halsted","02/04/2018","U",1085
40890,"O'Hare Airport","02/20/2018","W",10017
40350,"UIC-Halsted","02/13/2018","W",7493
41300,"Loyola","02/14/2018","W",5713
40890,"O'Hare Airport","03/22/2018","W",10836
41300,"Loyola","03/12/2018","W",5329
41300,"Loyola","01/21/2018","U",2646
40350,"UIC-Halsted","03/04/2018","U",1397
40890,"O'Hare Airport","03/28/2018","W",10298
41300,"Loyola","03/13/2018","W",5374
41300,"Loyola","02/20/2018","W",5270
40350,"UIC-Halsted","03/08/2018","W",7258
40890,"O'Hare Airport","01/12/2018","W",8264
40350,"UIC-Halsted","02/02/2018","W",6829
41300,"Loyola","03/28/2018","W",5334
40890,"O'Hare Airport","02/04/2018","U",7315
41300,"Loyola","01/07/2018","U",1867
41300,"Loyola","01/24/2018","W",5342
41300,"Loyola","01/30/2018","W",5394
40350,"UIC-Halsted","01/20/2018","A",2216
40890,"O'Hare Airport","01/07/2018","U",7228
41300,"Loyola","02/17/2018","A",4188
40350,"UIC-Halsted","01/08/2018","W",2800
40350,"UIC-Halsted","03/23/2018","W",6685
40350,"UIC-Halsted","02/28/2018","W",7501
40350,"UIC-Halsted","03/01/2018","W",7118
41300,"Loyola","02/13/2018","W",5516
40890,"O'Hare Airport","01/25/2018","W",9090
41300,"Loyola","01/08/2018","W",3757
41300,"Loyola","02/16/2018","W",6085
40890,"O'Hare Airport","01/16/2018","W",7774
41300,"Loyola","03/08/2018","W",4262
41300,"Loyola","03/14/2018","W",5712
41300,"Loyola","03/11/2018","U",2801
40890,"O'Hare Airport","03/21/2018","W",9427
41300,"Loyola","01/31/2018","W",5450
40890,"O'Hare Airport","01/14/2018","U",6114
41300,"Loyola","03/31/2018","A",3703
40890,"O'Hare Airport","01/04/2018","W",8278
40350,"UIC-Halsted","03/11/2018","U",1376
40890,"O'Hare Airport","02/12/2018","W",10257
40350,"UIC-Halsted","01/18/2018","W",7420
41300,"Loyola","03/26/2018","W",4857
40890,"O'Hare Airport","03/01/2018","W",9506
41300,"Loyola","02/25/2018","U",2973
40350,"UIC-Halsted","02/24/2018","A",2185
40350,"UIC-Halsted","03/20/2018","W",7017
40890,"O'Hare Airport","02/26/2018","W",10061
40350,"UIC-Halsted","02/21/2018","W",7634
40890,"O'Hare Airport","03/16/2018","W",13995
40350,"UIC-Halsted","01/10/2018","W",3168
41300,"Loyola","01/26/2018","W",5871
41300,"Loyola","03/19/2018","W",5198
40890,"O'Hare Airport","01/08/2018","W",9362
41300,"Loyola","02/01/2018","W",5419
40890,"O'Hare Airport","02/16/2018","W",11521
41300,"Loyola","01/15/2018","W",3613
41300,"Loyola","03/17/2018","A",6278
41300,"Loyola","01/14/2018","U",2223
40350,"UIC-Halsted","01/03/2018","W",2249
40350,"UIC-Halsted","03/25/2018","U",1430
40350,"UIC-Halsted","03/19/2018","W",7067
40350,"UIC-Halsted","01/14/2018","U",1218
40350,"UIC-Halsted","03/09/2018","W",6909
40350,"UIC-Halsted","02/03/2018","A",1769
41300,"Loyola","03/30/2018","W",4270
41300,"Loyola","03/07/2018","W",4323
40350,"UIC-Halsted","02/09/2018","W",3640
41300,"Loyola","02/21/2018","W",5577
40350,"UIC-Halsted","01/22/2018","W",7505
40890,"O'Hare Airport","03/07/2018","W",9193
40890,"O'Hare Airport","02/17/2018","A",7786
40350,"UIC-Halsted","02/20/2018","W",7203
40350,"UIC-Halsted","03/10/2018","A",2061
40890,"O'Hare Airport","03/11/2018","U",9449
41300,"Loyola","01/27/2018","A",4075
40350,"UIC-Halsted","03/27/2018","W",3200
40350,"UIC-Halsted","03/30/2018","W",2701
40890,"O'Hare Airport","01/01/2018","U",8226
40350,"UIC-Halsted","01/25/2018","W",7505
40350,"UIC-Halsted","03/12/2018","W",7260
40890,"O'Hare Airport","02/14/2018","W",8724
41300,"Loyola","01/23/2018","W",5515
41300,"Loyola","02/09/2018","W",4589
41300,"Loyola","01/13/2018","A",2818
40890,"O'Hare Airport","01/11/2018","W",7996
41300,"Loyola","02/24/2018","A",4571
40350,"UIC-Halsted","03/17/2018","A",3027
41300,"Loyola","03/21/2018","W",5185
41300,"Loyola","02/03/2018","A",3985
40890,"O'Hare Airport","03/15/2018","W",12314
41300,"Loyola","03/27/2018","W",5197
40350,"UIC-Halsted","03/28/2018","W",3198
40350,"UIC-Halsted","02/18/2018","U",1362
40890,"O'Hare Airport","02/22/2018","W",9912
40890,"O'Hare Airport","01/18/2018","W",7490
41300,"Loyola","01/28/2018","U",2780
40350,"UIC-Halsted","03/18/2018","U",1532
41300,"Loyola","02/15/2018","W",5577
41300,"Loyola","02/02/2018","W",5605
40890,"O'Hare Airport","03/09/2018","W",10942
41300,"Loyola","03/20/2018","W",5348
41300,"Loyola","01/16/2018","W",5316
40890,"O'Hare Airport","03/05/2018","W",9879
40890,"O'Hare Airport","02/09/2018","W",9127
40890,"O'Hare Airport","03/24/2018","A",8995
40890,"O'Hare Airport","02/10/2018","A",7658
41300,"Loyola","03/09/2018","W",4401
40350,"UIC-Halsted","02/05/2018","W",6982
40350,"UIC-Halsted","02/08/2018","W",7342
41300,"Loyola","02/18/2018","U",3270
40890,"O'Hare Airport","03/04/2018","U",8795
41300,"Loyola","03/03/2018","A",3651
40890,"O'Hare Airport","01/22/2018","W",9193
40350,"UIC-Halsted","02/19/2018","W",6488
40890,"O'Hare Airport","02/23/2018","W",10450
40890,"O'Hare Airport","03/03/2018","A",8166
40890,"O'Hare Airport","02/25/2018","U",8639
